
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.026919,0.0081,0.3472,1.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.028388,0.0081,0.3472,1.0061,0.0000,0.0000,0.0000,0.0826,0.0378,0.0043,
0.041334,0.0081,0.3472,1.0061,0.0000,0.0000,0.0000,0.0826,0.0378,0.0043,
0.061315,0.0423,0.3386,0.9354,0.0000,0.0000,0.0000,0.0826,0.0378,0.0043,
0.062798,0.0423,0.3386,0.9354,-0.0021,-0.0164,-0.0454,0.0826,0.0378,0.0043,
0.064202,0.0423,0.3386,0.9354,-0.0021,-0.0164,-0.0454,0.0826,0.0378,0.0043,
0.082348,0.0423,0.3386,0.9354,-0.0021,-0.0164,-0.0454,0.0826,0.0378,0.0043,
0.101475,0.0596,0.3489,0.8697,-0.0021,-0.0164,-0.0454,0.0826,0.0378,0.0043,
0.103506,0.0596,0.3489,0.8697,0.0823,-0.0446,-0.6376,0.0826,0.0378,0.0043,
0.105430,0.0596,0.3489,0.8697,0.0823,-0.0446,-0.6376,0.8634,0.5582,-0.2839,
0.122732,0.0596,0.3489,0.8697,0.0823,-0.0446,-0.6376,0.8437,0.5316,-0.3574,
0.141745,0.0418,0.3626,0.9088,0.0823,-0.0446,-0.6376,0.8437,0.5316,-0.3574,
0.143810,0.0418,0.3626,0.9088,-0.0565,0.0173,-0.2288,0.8437,0.5316,-0.3574,
0.145475,0.0418,0.3626,0.9088,-0.0565,0.0173,-0.2288,0.8437,0.4378,-0.4772,
0.161358,0.0418,0.3626,0.9088,-0.0565,0.0173,-0.2288,0.9726,0.4586,-0.5774,
0.182689,-0.0352,0.4241,0.9064,-0.0565,0.0173,-0.2288,0.9726,0.4586,-0.5774,
0.185136,-0.0352,0.4241,0.9064,-0.4575,0.3458,-0.1529,0.9726,0.4586,-0.5774,
0.186889,-0.0352,0.4241,0.9064,-0.4575,0.3458,-0.1529,1.1867,0.6349,-0.6147,
0.201788,-0.0352,0.4241,0.9064,-0.4575,0.3458,-0.1529,1.3337,0.8117,-0.6104,
0.221977,-0.1160,0.4762,0.8067,-0.4575,0.3458,-0.1529,1.3337,0.8117,-0.6104,
0.224134,-0.1160,0.4762,0.8067,-0.6956,0.3607,-0.8942,1.3337,0.8117,-0.6104,
