time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002998,0.1425,-0.0835,-0.4878,0.515
0.006379,0.0045,0.0807,-0.3794,0.388
0.014295,-0.0764,0.0894,-0.1576,0.197
0.023027,-0.1354,0.1167,0.1678,0.245
0.030325,-0.2556,0.1355,0.3176,0.430
0.039045,-0.2911,0.1436,0.5329,0.624
0.047133,-0.3065,0.1743,0.3236,0.479
0.054920,-0.0956,0.0966,0.1881,0.232
0.069802,0.1530,-0.0274,0.1535,0.218
0.070665,0.1024,-0.1004,0.0105,0.144
0.079194,-0.0443,-0.0612,-0.0797,0.110
0.086645,0.0021,-0.0550,-0.0591,0.081
0.096909,0.1476,-0.1002,-0.1056,0.207
0.102376,0.2767,-0.1631,-0.2188,0.389
0.110169,0.2883,-0.1847,-0.2692,0.436
0.118343,0.1769,-0.1777,-0.1979,0.319
0.126473,0.0849,-0.1104,-0.1440,0.200
0.134734,-0.1129,-0.0019,-0.0323,0.117
0.143953,-0.5012,0.1418,0.0581,0.524
0.150311,-0.6075,0.3148,0.1554,0.702
0.158137,-0.4358,0.2952,0.1540,0.548
0.166314,-0.2914,0.2017,0.0565,0.359
0.174254,-0.1357,0.1080,-0.0338,0.177
0.185091,0.0107,0.0284,-0.1330,0.136
0.190087,-0.0289,-0.0013,-0.1638,0.166
0.198655,-0.0394,0.0362,-0.0619,0.082
0.206242,0.0362,0.0931,-0.0927,0.136
0.214168,0.0713,0.1289,-0.1155,0.187
0.222180,0.0057,0.1340,0.0064,0.134
0.230208,-0.1154,0.1230,0.1543,0.229
0.238134,-0.1990,0.0907,0.2458,0.329
0.245920,-0.1917,0.0390,0.1615,0.254
0.254695,-0.1055,-0.0415,0.0301,0.117
0.270358,0.0124,-0.1035,-0.0482,0.115
0.271342,0.0328,-0.0846,-0.1839,0.205
0.278629,0.0443,-0.1235,-0.1910,0.232
0.287071,0.0367,-0.1959,-0.1717,0.263
0.298806,0.0076,-0.2710,-0.1873,0.330
0.302221,-0.0244,-0.2838,-0.2569,0.384
0.310151,0.0489,-0.2102,-0.2046,0.297
0.318731,0.0318,-0.1415,-0.0241,0.147
0.326593,-0.0773,-0.1072,0.1536,0.203
0.334123,-0.2406,-0.0882,0.2621,0.367
0.342339,-0.3702,-0.0790,0.3096,0.489
0.350723,-0.4355,-0.0362,0.2018,0.481
0.358068,-0.4082,-0.1100,0.1347,0.444
0.366550,-0.3360,-0.2336,0.0772,0.416
0.374663,-0.2953,-0.2803,-0.0039,0.407
0.385592,-0.1978,-0.2643,-0.0754,0.339
0.390549,-0.2301,-0.1256,-0.1015,0.281
0.398296,-0.3119,0.0098,-0.1403,0.342
0.406089,-0.1893,0.0457,-0.0548,0.202
0.415032,-0.0530,0.0174,0.0031,0.056
0.422251,-0.0315,0.0152,0.0711,0.079
0.430188,-0.0551,-0.0115,0.1110,0.124
0.438136,-0.0640,-0.0721,0.1298,0.162
0.446234,-0.0559,-0.1496,0.1252,0.203
0.454130,-0.0743,-0.1745,0.1331,0.232
0.464083,-0.1509,-0.1607,0.0696,0.231
0.470310,-0.2285,-0.1558,0.0550,0.282
0.479388,-0.2569,-0.2341,0.0314,0.349
0.485876,-0.2333,-0.4293,0.0804,0.495
0.493816,-0.3038,-0.6220,0.0976,0.699
0.502149,-0.4089,-0.8864,-0.0140,0.976
0.510500,-0.4341,-1.1767,-0.2039,1.271
0.517853,-0.3145,-1.4548,-0.3859,1.538
0.526042,-0.2656,-1.7634,-0.4704,1.844
0.533753,-0.2405,-2.0652,-0.5153,2.142
0.543558,-0.1791,-2.2166,-0.5515,2.291
0.550493,0.0695,-2.2341,-0.5954,2.313
0.558628,0.3296,-2.1827,-0.5925,2.286
0.566721,0.3812,-2.0408,-0.4577,2.126
0.574692,0.1717,-1.8284,-0.3807,1.875
0.582352,0.2468,-2.0059,0.3788,2.056
0.590192,1.7591,-4.8048,2.3688,5.638
0.599811,1.6737,-5.6033,2.6584,6.424
0.606424,1.0201,-5.0859,1.2179,5.328
0.614507,0.6480,-4.0372,-0.2403,4.096
0.621778,0.4692,-2.8559,-1.3985,3.214
0.629728,0.2990,-1.7742,-1.9562,2.658
0.638320,-0.1609,-0.7564,-2.1343,2.270
0.646256,-0.8984,0.1703,-1.8992,2.108
0.653647,-1.5920,0.9070,-1.1894,2.184
0.664097,-2.0298,1.6852,-0.1601,2.643
0.670755,-2.0789,2.1863,0.8651,3.138
0.681648,-0.9873,2.1617,1.3453,2.731
0.685746,2.2833,1.4026,1.6649,3.155
0.694432,4.5434,0.7242,1.6854,4.900
0.701630,2.9244,-0.2985,2.6435,3.953
0.710603,1.6499,-0.9897,2.7981,3.396
0.717554,1.0193,-1.6692,3.5681,4.069
0.725649,0.0375,-2.3329,2.4169,3.359
0.733555,-1.4672,-4.7455,0.3017,4.976
0.741546,-3.6413,-5.9645,-0.5407,7.009
0.750301,-3.6212,-6.2420,-1.0079,7.286
0.763729,-3.1210,-6.1143,-1.1966,6.968
0.766605,-2.4945,-5.4561,-1.1509,6.109
0.774715,-2.2421,-1.8348,-1.2089,3.139
0.785279,-2.2629,2.9961,-0.7844,3.836
0.790147,-2.0239,6.8770,-0.1685,7.171
0.797945,-2.2080,10.0380,0.3027,10.282
0.806237,-2.4675,11.7710,0.4825,12.036
0.814788,-3.0708,12.0964,0.3182,12.484
0.822058,-3.8245,10.8770,-0.4130,11.537
0.830641,-3.7157,7.6109,-1.6309,8.625
0.838469,-1.7787,4.1515,-2.2406,5.042
0.846549,-0.1232,1.6341,-1.8064,2.439
0.854216,0.8389,-0.1362,-0.5736,1.025
0.863444,1.1367,-1.0972,0.8801,1.808
0.870202,0.9177,-1.3774,2.1381,2.704
0.878455,0.3402,-0.9972,3.0211,3.200
0.885916,-0.1062,-0.5114,3.3462,3.387
0.894554,-0.1451,-0.1229,3.3641,3.369
0.901782,0.1356,0.2112,3.1329,3.143
0.910350,0.4670,0.3902,2.7833,2.849
0.917780,0.6828,0.4520,2.3152,2.456
0.926794,0.8455,0.4372,1.8604,2.090
0.934360,1.0523,0.3670,1.5256,1.889
0.942887,1.2051,0.2799,1.2999,1.794
0.949994,1.3673,0.2263,1.1438,1.797
0.958156,1.4464,0.2329,0.8853,1.712
0.966164,1.2287,0.3002,0.5572,1.382
0.974641,0.9821,0.3973,0.2194,1.082
0.982132,0.5385,0.4432,0.0974,0.704
0.990137,0.1244,0.5097,0.1383,0.543
0.998135,-0.3269,0.5297,0.1151,0.633
1.006717,-0.9291,0.4699,0.0372,1.042
1.013727,-1.3314,0.5007,0.0868,1.425
1.021622,-1.1049,0.5131,0.5348,1.330
1.029795,-0.4525,0.6320,1.3246,1.536
1.037722,0.0746,0.7964,2.6727,2.790
1.045810,0.0854,0.9803,3.5059,3.641
1.053521,0.0395,1.0385,3.4803,3.632
1.063141,0.3571,0.9394,2.6245,2.810
1.069811,0.9654,0.7403,1.2809,1.767
1.081803,1.3254,0.4564,0.1467,1.409
1.085662,1.6587,0.1392,-0.8702,1.878
1.093507,1.8617,-0.2125,-1.7140,2.539
1.101823,1.9040,-0.4925,-1.9390,2.762
1.109464,1.7484,-0.5617,-1.6307,2.456
1.117803,1.5951,-0.6192,-1.1519,2.063
1.125534,1.5051,-0.7391,-0.7712,1.846
1.134259,1.4687,-0.8213,-0.3288,1.715
1.142149,1.2228,-0.9663,0.0996,1.562
