
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.019998,0.0398,0.1583,1.0261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.021184,0.0398,0.1583,1.0261,0.0000,0.0000,0.0000,-0.1092,-0.0383,0.0469,
0.040165,0.0398,0.1583,1.0261,0.0000,0.0000,0.0000,-0.1092,-0.0383,0.0469,
0.060523,-0.0425,0.2062,1.0833,0.0000,0.0000,0.0000,-0.1092,-0.0383,0.0469,
0.062263,-0.0425,0.2062,1.0833,-0.0388,0.1883,0.9894,-0.1092,-0.0383,0.0469,
0.063931,-0.0425,0.2062,1.0833,-0.0388,0.1883,0.9894,-0.1092,-0.0383,0.0469,
0.080228,-0.0425,0.2062,1.0833,-0.0388,0.1883,0.9894,-0.1092,-0.0383,0.0469,
0.100242,-0.0186,0.2780,1.0515,-0.0388,0.1883,0.9894,-0.1092,-0.0383,0.0469,
0.101969,-0.0186,0.2780,1.0515,0.1064,0.6038,0.7344,-0.1092,-0.0383,0.0469,
0.103519,-0.0186,0.2780,1.0515,0.1064,0.6038,0.7344,1.1888,1.3476,0.0842,
0.121306,-0.0186,0.2780,1.0515,0.1064,0.6038,0.7344,1.2820,1.5707,0.0245,
0.140487,-0.1502,0.3183,1.0043,0.1064,0.6038,0.7344,1.2820,1.5707,0.0245,
0.142313,-0.1502,0.3183,1.0043,-0.7193,0.6495,0.3820,1.2820,1.5707,0.0245,
0.143685,-0.1502,0.3183,1.0043,-0.7193,0.6495,0.3820,1.2575,1.9058,-0.0128,
0.160121,-0.1502,0.3183,1.0043,-0.7193,0.6495,0.3820,1.2032,1.7481,-0.0373,
0.180287,-0.2841,0.2981,1.0229,-0.7193,0.6495,0.3820,1.2032,1.7481,-0.0373,
0.183092,-0.2841,0.2981,1.0229,-1.2537,0.3615,0.6823,1.2032,1.7481,-0.0373,
0.185396,-0.2841,0.2981,1.0229,-1.2537,0.3615,0.6823,1.1025,1.4525,-0.0389,
0.199691,-0.2841,0.2981,1.0229,-1.2537,0.3615,0.6823,1.2272,1.3816,-0.0101,
0.220287,-0.2509,0.3010,1.0178,-1.2537,0.3615,0.6823,1.2272,1.3816,-0.0101,
0.222094,-0.2509,0.3010,1.0178,-0.6144,0.3249,0.7072,1.2272,1.3816,-0.0101,
0.223719,-0.2509,0.3010,1.0178,-0.6144,0.3249,0.7072,1.6181,1.5793,0.0383,
0.240008,-0.2509,0.3010,1.0178,-0.6144,0.3249,0.7072,1.9207,1.8019,0.0218,
0.259444,-0.2648,0.3406,0.7537,-0.6144,0.3249,0.7072,1.9207,1.8019,0.0218,
0.261235,-0.2648,0.3406,0.7537,-0.3108,0.2412,-1.6341,1.9207,1.8019,0.0218,
0.262972,-0.2648,0.3406,0.7537,-0.3108,0.2412,-1.6341,1.9308,1.9361,-0.0485,
