time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003363,0.0834,0.0819,0.2294,0.257
0.003970,0.1498,0.0143,0.1325,0.201
0.008632,0.1010,-0.0585,0.0220,0.119
0.016449,0.0285,-0.1197,-0.0061,0.123
0.024565,-0.0195,-0.1358,-0.0358,0.142
0.032754,-0.0431,-0.1425,-0.0318,0.152
0.041045,-0.0307,-0.1493,-0.0469,0.160
0.048900,-0.0372,-0.1036,-0.0167,0.111
0.056609,-0.0174,-0.1201,-0.0554,0.133
0.064583,-0.0594,-0.1155,-0.0792,0.152
0.082689,-0.0823,-0.1157,-0.0713,0.159
0.083523,-0.0574,-0.0991,-0.0535,0.126
0.089156,-0.0184,-0.0753,-0.0236,0.081
0.096994,-0.0077,-0.0468,0.0414,0.063
0.104494,0.0101,-0.0133,0.0607,0.063
0.112475,0.0564,0.0226,0.1061,0.122
0.121097,0.0575,0.0154,0.1346,0.147
0.128453,0.0567,-0.0088,0.1053,0.120
0.136469,0.0277,-0.0212,0.0686,0.077
0.144320,0.0397,-0.0169,0.0506,0.066
0.152152,0.0188,-0.0415,0.0177,0.049
0.166783,-0.0465,-0.0856,0.0023,0.097
0.168893,-0.0679,-0.0866,0.0022,0.110
0.176798,-0.0551,-0.0734,-0.0421,0.101
0.184407,-0.0398,-0.0769,-0.0559,0.103
0.192388,0.0017,-0.0300,-0.0791,0.085
0.200293,0.1166,0.0362,-0.0964,0.156
0.208761,0.1277,0.0139,-0.1096,0.169
0.216568,0.0788,-0.0229,-0.1167,0.143
0.224429,-0.0205,-0.0479,-0.1990,0.206
0.232883,-0.1242,-0.0756,-0.2452,0.285
0.241364,-0.1964,-0.1177,-0.1872,0.296
0.249482,-0.2366,-0.1119,-0.0709,0.271
0.256855,-0.2117,-0.1013,0.0295,0.237
0.265052,-0.1983,-0.0715,0.0718,0.223
0.272799,-0.1419,-0.0561,0.0636,0.165
0.284765,-0.0709,-0.0120,0.0958,0.120
0.288436,-0.0215,0.0106,0.1114,0.114
0.296956,-0.0510,0.0307,0.1014,0.118
0.304900,-0.1264,0.0194,0.0670,0.144
0.312161,-0.0882,0.0394,-0.0106,0.097
0.320136,0.0322,0.0525,-0.0956,0.114
0.328015,-0.0324,0.0346,-0.1197,0.129
0.336235,-0.0421,0.0551,-0.0791,0.105
0.344218,0.1056,0.0974,-0.0023,0.144
0.351903,0.1129,0.0937,0.0220,0.148
0.368308,0.0730,0.0442,0.1492,0.172
0.369174,0.0764,0.0018,0.1785,0.194
0.376790,0.1399,-0.0215,0.1861,0.234
0.384774,0.1911,-0.0329,0.1030,0.220
0.392518,0.1749,-0.0033,0.0129,0.175
0.399792,0.1818,-0.0380,-0.0292,0.188
0.407715,0.0613,-0.0463,-0.0300,0.082
0.416023,-0.0067,-0.0426,-0.0088,0.044
0.424528,-0.0492,-0.0962,-0.0536,0.121
0.431970,-0.0426,-0.1015,-0.1190,0.162
0.441141,-0.0370,-0.0633,-0.0884,0.115
0.447975,-0.1038,-0.0296,-0.0627,0.125
0.456280,-0.1354,-0.0027,-0.1307,0.188
0.464561,-0.0744,-0.0087,-0.1518,0.169
0.472999,0.0531,-0.0787,-0.0650,0.115
0.480030,-0.1255,-0.0191,-0.0759,0.148
0.487925,-0.1036,-0.0906,0.0192,0.139
0.495936,-0.1225,-0.1476,-0.0466,0.197
0.504319,-0.1029,-0.2070,-0.0983,0.251
0.511966,-0.1333,-0.1491,-0.1050,0.226
0.520388,-0.1010,-0.0963,-0.0948,0.169
0.528141,-0.1765,-0.1082,-0.1628,0.263
0.535799,-0.1422,-0.1870,-0.1206,0.264
0.543680,-0.1372,-0.2561,-0.1377,0.322
0.552344,-0.1899,-0.2916,-0.0540,0.352
0.561865,-0.2521,-0.2483,-0.0795,0.363
0.568425,-0.1568,-0.2072,-0.1168,0.285
0.577996,-0.1023,-0.1969,-0.0332,0.224
0.584264,-0.0769,-0.3034,0.0802,0.323
0.591625,-0.1597,-0.2709,0.1744,0.360
0.600750,-0.2016,-0.1476,0.1613,0.297
0.608266,-0.1190,-0.1630,0.1836,0.273
0.615688,-0.0743,-0.1688,0.2071,0.277
0.624490,-0.0695,-0.1459,0.2723,0.317
0.632165,-0.0881,-0.1256,0.2747,0.315
0.640030,-0.0461,-0.0912,0.2245,0.247
0.648129,-0.0827,-0.1195,0.1198,0.188
0.656343,-0.0301,-0.0308,0.0873,0.097
0.664609,0.0700,-0.1120,-0.0261,0.135
0.671723,0.1389,-0.1236,-0.0035,0.186
0.680019,0.1618,-0.0297,0.0144,0.165
0.687678,0.2249,0.0095,-0.0632,0.234
0.695664,0.2491,-0.0135,0.0103,0.250
0.703535,0.1920,-0.0462,0.0701,0.210
0.711725,0.1208,0.0142,0.0905,0.152
0.720048,0.1237,-0.0383,0.0425,0.136
0.728282,0.0554,0.0216,0.0758,0.096
0.735948,-0.0220,-0.0553,0.1185,0.133
0.744187,-0.0554,-0.0126,0.1506,0.161
0.752004,-0.0353,0.0106,0.1175,0.123
