
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.104298,0.0005,0.1915,1.0794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.106258,0.0037,0.2485,0.8214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.109055,0.0320,0.2984,0.6409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.110747,0.0115,0.3280,0.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.126929,0.0115,0.3280,0.6096,0.1840,-0.9700,-2.0290,0.0000,0.0000,0.0000,
0.146127,0.0115,0.3280,0.6096,0.1500,-0.4140,-1.0390,0.0000,0.0000,0.0000,
0.165296,0.0115,0.3280,0.6096,-0.0060,0.0120,0.0550,0.0000,0.0000,0.0000,
0.185824,-0.0652,0.3329,0.6923,-0.0060,0.0120,0.0550,0.0000,0.0000,0.0000,
0.188030,-0.1176,0.3318,0.8135,-0.0060,0.0120,0.0550,0.0000,0.0000,0.0000,
0.189655,-0.1170,0.3390,0.9415,-0.0060,0.0120,0.0550,0.0000,0.0000,0.0000,
0.192168,-0.0797,0.3350,1.0183,-0.0060,0.0120,0.0550,0.0000,0.0000,0.0000,
0.193767,-0.0797,0.3350,1.0183,-0.0060,0.0120,0.0550,-0.1947,-0.0697,0.0118,
0.195357,-0.0797,0.3350,1.0183,-0.0530,0.2250,0.6800,-0.1947,-0.0697,0.0118,
0.205953,-0.0797,0.3350,1.0183,-0.0730,0.3070,0.8870,-0.1947,-0.0697,0.0118,
0.227085,-0.0797,0.3350,1.0183,-0.3280,0.0320,1.0620,-0.1947,-0.0697,0.0118,
0.246759,-0.0797,0.3350,1.0183,-0.3280,0.0320,1.0620,0.1622,-0.0968,0.0788,
0.250113,-0.0797,0.3350,1.0183,0.2780,0.5310,1.3990,0.1622,-0.0968,0.0788,
0.267386,-0.0736,0.3382,1.0412,0.2780,0.5310,1.3990,0.1622,-0.0968,0.0788,
0.269436,-0.0948,0.3101,1.0596,0.2780,0.5310,1.3990,0.1622,-0.0968,0.0788,
0.271316,-0.0315,0.3653,1.0928,0.2780,0.5310,1.3990,0.1622,-0.0968,0.0788,
0.272880,0.0103,0.3954,1.0708,0.2780,0.5310,1.3990,0.1622,-0.0968,0.0788,
0.274680,0.0103,0.3954,1.0708,0.6710,0.7820,1.1960,0.1622,-0.0968,0.0788,
0.287634,0.0103,0.3954,1.0708,0.7960,0.6800,0.7490,0.1622,-0.0968,0.0788,
0.308306,0.0103,0.3954,1.0708,0.7960,0.6800,0.7490,0.1693,0.0162,0.0378,
0.311689,0.0103,0.3954,1.0708,0.9350,0.8510,0.4610,0.1693,0.0162,0.0378,
0.328259,0.0103,0.3954,1.0708,0.6380,0.6490,0.6050,0.1693,0.0162,0.0378,
0.350990,0.0222,0.3895,1.0239,0.6380,0.6490,0.6050,0.1693,0.0162,0.0378,
0.354913,0.0369,0.4112,0.9926,0.6380,0.6490,0.6050,0.1693,0.0162,0.0378,
0.358208,0.0081,0.3926,1.0076,0.6380,0.6490,0.6050,0.1693,0.0162,0.0378,
0.361698,0.0277,0.3837,1.0442,0.6380,0.6490,0.6050,0.1693,0.0162,0.0378,
0.365173,0.0277,0.3837,1.0442,0.0260,0.3640,1.0310,0.1693,0.0162,0.0378,
0.368855,0.0277,0.3837,1.0442,0.0260,0.3640,1.0310,0.2612,0.1693,-0.0151,
0.372310,0.0277,0.3837,1.0442,0.2150,0.1070,1.5530,0.2612,0.1693,-0.0151,
0.389419,0.0277,0.3837,1.0442,0.3850,-0.0270,1.8970,0.2612,0.1693,-0.0151,
0.409154,0.0277,0.3837,1.0442,0.5850,-0.1880,1.7640,0.2612,0.1693,-0.0151,
0.430485,0.0457,0.3590,1.0971,0.5850,-0.1880,1.7640,0.2612,0.1693,-0.0151,
0.433837,0.0589,0.3470,1.1327,0.5850,-0.1880,1.7640,0.2612,0.1693,-0.0151,
0.436861,0.0757,0.3313,1.1187,0.5850,-0.1880,1.7640,0.2612,0.1693,-0.0151,
0.439694,0.1253,0.3248,1.0894,0.5850,-0.1880,1.7640,0.2612,0.1693,-0.0151,
