t_Android;t_unix;x;y;z;a
334107587143751;1702616822253;-4.378995;6.2823853;1.115698;3
334107589157884;1702616822253;-4.378995;6.2823853;1.115698;3
334107591141499;1702616822253;-4.378995;6.2823853;1.115698;3
334107593155631;1702616822253;-4.378995;6.2823853;1.115698;3
334107595139247;1702616822253;-4.378995;6.2823853;1.115698;3
334107597153379;1702616822253;-4.378995;6.2823853;1.115698;3
334107599136995;1702616822253;-4.378995;6.2823853;1.115698;3
334107601151127;1702616822253;-4.378995;6.2823853;1.115698;3
334107603134741;1702616822253;-4.378995;6.2823853;1.115698;3
334107605148874;1702616822253;-4.378995;6.2823853;1.115698;3
334107607132489;1702616822253;-4.378995;6.2823853;1.115698;3
334107609146622;1702616822254;-4.378995;6.2823853;1.115698;3
334107611130237;1702616822254;-4.378995;6.2823853;1.115698;3
334107613144369;1702616822254;-4.378995;6.2823853;1.115698;3
334107615127984;1702616822254;-4.378995;6.2823853;1.115698;3
334107617142117;1702616822254;-4.378995;6.2823853;1.115698;3
334107619125732;1702616822254;-4.378995;6.2823853;1.115698;3
334107621139864;1702616822254;-4.378995;6.2823853;1.115698;3
334107623123480;1702616822254;-4.378995;6.2823853;1.115698;3
334107625137612;1702616822254;-4.378995;6.2823853;1.115698;3
334107627121228;1702616822254;-4.378995;6.2823853;1.115698;3
334107629135360;1702616822254;-4.378995;6.2823853;1.115698;3
334107631118974;1702616822254;-4.378995;6.2823853;1.115698;3
334107633133108;1702616822254;-4.378995;6.2823853;1.115698;3
334107635177756;1702616822254;-4.378995;6.2823853;1.115698;3
334107637161372;1702616822254;-4.378995;6.2823853;1.115698;3
334107639175504;1702616822254;-4.378995;6.2823853;1.115698;3
334107641159120;1702616822254;-4.378995;6.2823853;1.115698;3
334107643173252;1702616822285;-4.378995;6.2823853;1.115698;3
334107645187384;1702616822285;-4.378995;6.2823853;1.115698;3
334107647171000;1702616822285;-4.378995;6.2823853;1.115698;3
334107649185132;1702616822285;-4.378995;6.2823853;1.115698;3
334107651168747;1702616822285;-4.378995;6.2823853;1.115698;3
334107653182879;1702616822285;-4.378995;6.2823853;1.115698;3
334107655166495;1702616822285;-4.378995;6.2823853;1.115698;3
334107657180627;1702616822285;-4.378995;6.2823853;1.115698;3
334107659164243;1702616822285;-4.378995;6.2823853;1.115698;3
334107661178375;1702616822285;-4.378995;6.2823853;1.115698;3
334107663161989;1702616822285;-4.378995;6.2823853;1.115698;3
334107665176123;1702616822285;-4.378995;6.2823853;1.115698;3
334107667159737;1702616822285;-4.378995;6.2823853;1.115698;3
334107669173870;1702616822285;-4.378995;6.2823853;1.115698;3
334107671157485;1702616822285;-4.378995;6.2823853;1.115698;3
334107673171617;1702616822285;-4.378995;6.2823853;1.115698;3
334107675155233;1702616822287;-4.378995;6.2823853;1.115698;3
334107677169365;1702616822289;-4.378995;6.2823853;1.115698;3
334107679152980;1702616822291;-4.378995;6.2823853;1.115698;3
334107681167113;1702616822293;-4.378995;6.2823853;1.115698;3
334107683150728;1702616822295;-4.378995;6.2823853;1.115698;3
334107685164860;1702616822299;-4.378995;6.2823853;1.115698;3
334107687148476;1702616822306;-4.378995;6.2823853;1.115698;3
334107689162608;1702616822306;-4.378995;6.2823853;1.115698;3
334107691146224;1702616822306;-4.378995;6.2823853;1.115698;3
334107693160356;1702616822306;-4.378995;6.2823853;1.115698;3
334107695143970;1702616822307;-4.378995;6.2823853;1.115698;3
334107697158103;1702616822309;-4.378995;6.2823853;1.115698;3
334107699141718;1702616822315;-4.378995;6.2823853;1.115698;3
334107701155850;1702616822315;-4.378995;6.2823853;1.115698;3
334107703139466;1702616822321;-4.378995;6.2823853;1.115698;3
334107705153598;1702616822321;-4.378995;6.2823853;1.115698;3
334107707137214;1702616822321;-4.378995;6.2823853;1.115698;3
334107709151346;1702616822321;-4.378995;6.2823853;1.115698;3
334107711134961;1702616822323;-4.378995;6.2823853;1.115698;3
334107713149093;1702616822325;-4.378995;6.2823853;1.115698;3
334107715132709;1702616822327;-4.378995;6.2823853;1.115698;3
334107717146841;1702616822331;-4.378995;6.2823853;1.115698;3
334107719130457;1702616822331;-4.378995;6.2823853;1.115698;3
334107721144589;1702616822333;-4.378995;6.2823853;1.115698;3
334107723158721;1702616822335;-4.378995;6.2823853;1.115698;3
334107725142337;1702616822337;-4.378995;6.2823853;1.115698;3
334107727156469;1702616822339;-4.378995;6.2823853;1.115698;3
334107729140083;1702616822341;-4.378995;6.2823853;1.115698;3
334107731154217;1702616822343;-4.378995;6.2823853;1.115698;3
334107733137831;1702616822346;-4.378995;6.2823853;1.115698;3
334107735151964;1702616822347;-4.378995;6.2823853;1.115698;3
334107737135579;1702616822349;-4.378995;6.2823853;1.115698;3
334107739149711;1702616822351;-4.378995;6.2823853;1.115698;3
334107741133327;1702616822354;-4.378995;6.2823853;1.115698;3
334107743147459;1702616822355;-4.378995;6.2823853;1.115698;3
334107745131074;1702616822357;-4.378995;6.2823853;1.115698;3
334107747145206;1702616822359;-4.378995;6.2823853;1.115698;3
334107749128822;1702616822363;-4.378995;6.2823853;1.115698;3
334107751142954;1702616822363;-4.378995;6.2823853;1.115698;3
334107753126570;1702616822374;-4.378995;6.2823853;1.115698;3
334107755140702;1702616822374;-4.378995;6.2823853;1.115698;3
334107757124317;1702616822374;-4.378995;6.2823853;1.115698;3
334107759138450;1702616822374;-4.378995;6.2823853;1.115698;3
334107761122064;1702616822374;-4.378995;6.2823853;1.115698;3
334107763136197;1702616822375;-4.378995;6.2823853;1.115698;3
334107765119812;1702616822377;-4.378995;6.2823853;1.115698;3
334107767133944;1702616822379;-4.378995;6.2823853;1.115698;3
334107769117560;1702616822381;-4.378995;6.2823853;1.115698;3
334107771131692;1702616822383;-4.378995;6.2823853;1.115698;3
334107773115307;1702616822385;-4.378995;6.2823853;1.115698;3
334107775129440;1702616822387;-4.378995;6.2823853;1.115698;3
334107777113055;1702616822389;-4.378995;6.2823853;1.115698;3
334107779127187;1702616822391;-4.378995;6.2823853;1.115698;3
334107781110803;1702616822393;-4.378995;6.2823853;1.115698;3
334107783094417;1702616822396;-4.378995;6.2823853;1.115698;3
334107785108551;1702616822397;-4.378995;6.2823853;1.115698;3
334107787092165;1702616822399;-4.378995;6.2823853;1.115698;3
334107789106297;1702616822401;-4.378995;6.2823853;1.115698;3
334107791089913;1702616822403;-4.378995;6.2823853;1.115698;3
334107793104045;1702616822405;-4.378995;6.2823853;1.115698;3
334107795087661;1702616822407;-4.378995;6.2823853;1.115698;3
334107797101793;1702616822409;-4.378995;6.2823853;1.115698;3
334107799085408;1702616822413;-4.378995;6.2823853;1.115698;3
334107801099541;1702616822414;-4.378995;6.2823853;1.115698;3
334107803083156;1702616822415;-4.378995;6.2823853;1.115698;3
334107805097288;1702616822417;-4.378995;6.2823853;1.115698;3
