
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.026880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2157,0.2903,0.0197,
0.046681,-0.0081,0.2436,0.8382,0.0000,0.0000,0.0000,-0.2157,0.2903,0.0197,
0.048153,-0.0081,0.2436,0.8382,0.0000,0.0000,0.0000,-0.2157,0.2903,0.0197,
0.067159,-0.0081,0.2436,0.8382,0.0000,0.0000,0.0000,-0.2157,0.2903,0.0197,
0.086990,0.0274,0.3083,0.8245,0.0000,0.0000,0.0000,-0.2157,0.2903,0.0197,
0.088687,0.0274,0.3083,0.8245,-0.0365,-0.4115,-1.1006,-0.2157,0.2903,0.0197,
0.090181,0.0274,0.3083,0.8245,-0.0365,-0.4115,-1.1006,-0.2157,0.2903,0.0197,
0.106884,0.0274,0.3083,0.8245,-0.0365,-0.4115,-1.1006,0.5923,-1.3167,0.6828,
0.127105,0.1622,0.2973,0.8485,-0.0365,-0.4115,-1.1006,0.5923,-1.3167,0.6828,
0.129572,0.1622,0.2973,0.8485,0.6525,-0.4225,-0.8589,0.5923,-1.3167,0.6828,
0.131364,0.1622,0.2973,0.8485,0.6525,-0.4225,-0.8589,0.7744,-1.7113,0.6205,
0.146995,0.1622,0.2973,0.8485,0.6525,-0.4225,-0.8589,0.4378,-1.5697,0.5044,
0.167653,0.2096,0.2123,0.8079,0.6525,-0.4225,-0.8589,0.4378,-1.5697,0.5044,
0.169756,0.2096,0.2123,0.8079,0.5011,-0.8800,-1.3015,0.4378,-1.5697,0.5044,
0.171594,0.2096,0.2123,0.8079,0.5011,-0.8800,-1.3015,-0.1310,-1.7827,0.3483,
0.187001,0.2096,0.2123,0.8079,0.5011,-0.8800,-1.3015,-0.4069,-0.9262,0.4426,
0.206620,0.4134,0.2924,1.0774,0.5011,-0.8800,-1.3015,-0.4069,-0.9262,0.4426,
0.208671,0.4134,0.2924,1.0774,1.5485,0.1707,1.4676,-0.4069,-0.9262,0.4426,
0.210204,0.4134,0.2924,1.0774,1.5485,0.1707,1.4676,-0.2274,-0.4714,0.2232,
0.227239,0.4134,0.2924,1.0774,1.5485,0.1707,1.4676,0.2051,-0.1475,0.0740,
0.246822,0.3398,0.3430,1.1778,1.5485,0.1707,1.4676,0.2051,-0.1475,0.0740,
0.248948,0.3398,0.3430,1.1778,0.7714,0.6919,2.4597,0.2051,-0.1475,0.0740,
0.250713,0.3398,0.3430,1.1778,0.7714,0.6919,2.4597,0.7031,0.4810,-0.0959,
0.267452,0.3398,0.3430,1.1778,0.7714,0.6919,2.4597,1.2346,1.0189,-0.3244,
0.288529,0.2025,0.2575,0.9452,0.7714,0.6919,2.4597,1.2346,1.0189,-0.3244,
0.291482,0.2025,0.2575,0.9452,-0.3447,-0.0889,0.1024,1.2346,1.0189,-0.3244,
0.293512,0.2025,0.2575,0.9452,-0.3447,-0.0889,0.1024,1.4472,1.1851,-0.4485,
0.307147,0.2025,0.2575,0.9452,-0.3447,-0.0889,0.1024,1.4605,0.0549,-0.3483,
0.327278,0.2634,0.3972,0.9623,-0.3447,-0.0889,0.1024,1.4605,0.0549,-0.3483,
0.329381,0.2634,0.3972,0.9623,0.2154,0.8389,0.4170,1.4605,0.0549,-0.3483,
0.331063,0.2634,0.3972,0.9623,0.2154,0.8389,0.4170,1.3113,-0.9241,-0.4719,
0.346875,0.2634,0.3972,0.9623,0.2154,0.8389,0.4170,0.8495,-1.0605,-0.4117,
0.367359,0.2533,0.3987,0.7288,0.2154,0.8389,0.4170,0.8495,-1.0605,-0.4117,
0.369194,0.2533,0.3987,0.7288,-0.1755,0.4227,-1.6308,0.8495,-1.0605,-0.4117,
0.371115,0.2533,0.3987,0.7288,-0.1755,0.4227,-1.6308,0.1103,-0.8442,-0.3270,
0.386925,0.2533,0.3987,0.7288,-0.1755,0.4227,-1.6308,-0.7521,-0.4213,-0.3206,
0.406924,0.3696,0.3000,0.9506,-0.1755,0.4227,-1.6308,-0.7521,-0.4213,-0.3206,
0.409368,0.3696,0.3000,0.9506,0.7858,-0.4650,0.5677,-0.7521,-0.4213,-0.3206,
0.410941,0.3696,0.3000,0.9506,0.7858,-0.4650,0.5677,-1.0152,-0.6141,-0.4458,
0.426686,0.3696,0.3000,0.9506,0.7858,-0.4650,0.5677,-0.6887,-0.5582,-0.6780,
0.446994,0.3156,0.3403,1.1436,0.7858,-0.4650,0.5677,-0.6887,-0.5582,-0.6780,
0.449520,0.3156,0.3403,1.1436,0.1244,0.1631,2.4156,-0.6887,-0.5582,-0.6780,
0.451000,0.3156,0.3403,1.1436,0.1244,0.1631,2.4156,-0.1875,-0.5838,-0.8682,
0.466718,0.3156,0.3403,1.1436,0.1244,0.1631,2.4156,0.2487,-0.2077,-0.9092,
0.487008,0.2309,0.4244,0.8656,0.1244,0.1631,2.4156,0.2487,-0.2077,-0.9092,
0.490039,0.2309,0.4244,0.8656,-0.7233,0.8660,-0.2588,0.2487,-0.2077,-0.9092,
0.492547,0.2309,0.4244,0.8656,-0.7233,0.8660,-0.2588,0.0186,0.9428,-0.8277,
0.507183,0.2309,0.4244,0.8656,-0.7233,0.8660,-0.2588,-0.0250,0.5417,-0.8772,
0.526982,0.1517,0.4131,0.7923,-0.7233,0.8660,-0.2588,-0.0250,0.5417,-0.8772,
0.529158,0.1517,0.4131,0.7923,-1.1107,0.6447,-1.0581,-0.0250,0.5417,-0.8772,
0.531329,0.1517,0.4131,0.7923,-1.1107,0.6447,-1.0581,-0.0197,0.5806,-0.8069,
0.546392,0.1517,0.4131,0.7923,-1.1107,0.6447,-1.0581,0.0352,1.4328,-0.7963,
0.566949,0.1258,0.4212,0.7603,-1.1107,0.6447,-1.0581,0.0352,1.4328,-0.7963,
0.571831,0.1258,0.4212,0.7603,-0.8942,0.6324,-1.4615,0.0352,1.4328,-0.7963,
0.574009,0.1258,0.4212,0.7603,-0.8942,0.6324,-1.4615,0.1550,1.5899,-0.7531,
0.586755,0.1258,0.4212,0.7603,-0.8942,0.6324,-1.4615,0.4666,0.9129,-0.5864,
0.606140,0.1732,0.2907,0.9391,-0.8942,0.6324,-1.4615,0.4666,0.9129,-0.5864,
