
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.019785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0378,-0.6908,-0.6200,
0.039409,0.1026,0.3020,0.9692,0.0000,0.0000,0.0000,0.0378,-0.6908,-0.6200,
0.040696,0.1026,0.3020,0.9692,0.0000,0.0000,0.0000,0.0378,-0.6908,-0.6200,
0.059004,0.1026,0.3020,0.9692,0.0000,0.0000,0.0000,0.0378,-0.6908,-0.6200,
0.079413,0.0528,0.3525,0.8382,0.0000,0.0000,0.0000,0.0378,-0.6908,-0.6200,
0.081560,0.0528,0.3525,0.8382,-0.0510,-0.3407,-0.8100,0.0378,-0.6908,-0.6200,
0.083532,0.0528,0.3525,0.8382,-0.0510,-0.3407,-0.8100,0.0378,-0.6908,-0.6200,
0.100210,0.0528,0.3525,0.8382,-0.0510,-0.3407,-0.8100,0.6940,0.6242,-0.4149,
0.119737,0.1258,0.3811,0.9000,-0.0510,-0.3407,-0.8100,0.6940,0.6242,-0.4149,
0.123458,0.1258,0.3811,0.9000,0.3573,-0.0616,-0.1792,0.6940,0.6242,-0.4149,
0.125291,0.1258,0.3811,0.9000,0.3573,-0.0616,-0.1792,0.9396,0.9816,-0.4458,
0.139349,0.1258,0.3811,0.9000,0.3573,-0.0616,-0.1792,1.0370,0.9305,-0.6210,
0.161130,0.0242,0.4197,0.8341,0.3573,-0.0616,-0.1792,1.0370,0.9305,-0.6210,
0.163512,0.0242,0.4197,0.8341,-0.3737,0.0518,-0.7314,1.0370,0.9305,-0.6210,
0.165094,0.0242,0.4197,0.8341,-0.3737,0.0518,-0.7314,0.8986,0.5044,-0.8458,
0.178817,0.0242,0.4197,0.8341,-0.3737,0.0518,-0.7314,0.8964,0.4895,-0.9183,
0.199677,-0.1048,0.4688,0.9020,-0.3737,0.0518,-0.7314,0.8964,0.4895,-0.9183,
0.202700,-0.1048,0.4688,0.9020,-0.9088,0.3201,0.0141,0.8964,0.4895,-0.9183,
0.204757,-0.1048,0.4688,0.9020,-0.9088,0.3201,0.0141,1.1856,0.9492,-0.8703,
0.219000,-0.1048,0.4688,0.9020,-0.9088,0.3201,0.0141,1.5105,1.3550,-0.7579,
0.239670,-0.2318,0.5079,0.8067,-0.9088,0.3201,0.0141,1.5105,1.3550,-0.7579,
0.241854,-0.2318,0.5079,0.8067,-1.1953,0.3202,-0.6571,1.5105,1.3550,-0.7579,
0.243939,-0.2318,0.5079,0.8067,-1.1953,0.3202,-0.6571,1.6059,1.1904,-0.8368,
0.258930,-0.2318,0.5079,0.8067,-1.1953,0.3202,-0.6571,1.4701,0.7105,-0.9294,
0.278974,-0.3208,0.6020,0.7581,-1.1953,0.3202,-0.6571,1.4701,0.7105,-0.9294,
0.280792,-0.3208,0.6020,0.7581,-1.1609,0.6950,-0.6427,1.4701,0.7105,-0.9294,
0.282293,-0.3208,0.6020,0.7581,-1.1609,0.6950,-0.6427,1.4248,0.6732,-0.8970,
0.299210,-0.3208,0.6020,0.7581,-1.1609,0.6950,-0.6427,1.4083,0.7441,-0.7760,
0.319030,-0.3555,0.6193,0.7073,-1.1609,0.6950,-0.6427,1.4083,0.7441,-0.7760,
0.322022,-0.3555,0.6193,0.7073,-0.8394,0.4691,-0.6725,1.4083,0.7441,-0.7760,
0.324021,-0.3555,0.6193,0.7073,-0.8394,0.4691,-0.6725,1.4243,0.8357,-0.7297,
0.339629,-0.3555,0.6193,0.7073,-0.8394,0.4691,-0.6725,1.5052,0.7356,-0.7675,
0.358818,-0.3860,0.6618,0.5971,-0.8394,0.4691,-0.6725,1.5052,0.7356,-0.7675,
0.361045,-0.3860,0.6618,0.5971,-0.5837,0.3844,-1.1277,1.5052,0.7356,-0.7675,
0.363085,-0.3860,0.6618,0.5971,-0.5837,0.3844,-1.1277,1.4674,0.5065,-0.8160,
0.379210,-0.3860,0.6618,0.5971,-0.5837,0.3844,-1.1277,1.4583,0.6413,-0.8059,
0.399209,-0.4581,0.7322,0.5692,-0.5837,0.3844,-1.1277,1.4583,0.6413,-0.8059,
0.402078,-0.4581,0.7322,0.5692,-0.9271,0.7838,-0.9506,1.4583,0.6413,-0.8059,
0.404165,-0.4581,0.7322,0.5692,-0.9271,0.7838,-0.9506,1.5356,0.9598,-0.7148,
0.419348,-0.4581,0.7322,0.5692,-0.9271,0.7838,-0.9506,1.5175,1.0674,-0.6136,
0.439165,-0.3718,0.6843,0.2511,-0.9271,0.7838,-0.9506,1.5175,1.0674,-0.6136,
0.441328,-0.3718,0.6843,0.2511,0.3441,0.0327,-3.5163,1.5175,1.0674,-0.6136,
0.443184,-0.3718,0.6843,0.2511,0.3441,0.0327,-3.5163,1.2181,0.7313,-0.6956,
0.458595,-0.3718,0.6843,0.2511,0.3441,0.0327,-3.5163,0.7846,0.2743,-0.8884,
0.479654,-0.5042,0.7383,0.5038,0.3441,0.0327,-3.5163,0.7846,0.2743,-0.8884,
0.482095,-0.5042,0.7383,0.5038,-0.6210,0.4526,-0.6755,0.7846,0.2743,-0.8884,
0.484099,-0.5042,0.7383,0.5038,-0.6210,0.4526,-0.6755,0.8400,0.2743,-0.7233,
0.498542,-0.5042,0.7383,0.5038,-0.6210,0.4526,-0.6755,1.0935,0.7840,-0.5220,
0.519294,-0.4845,0.7297,0.5492,-0.6210,0.4526,-0.6755,1.0935,0.7840,-0.5220,
0.522533,-0.4845,0.7297,0.5492,-0.1461,0.2641,0.1325,1.0935,0.7840,-0.5220,
0.524499,-0.4845,0.7297,0.5492,-0.1461,0.2641,0.1325,1.5255,1.3976,-0.4101,
0.538181,-0.4845,0.7297,0.5492,-0.1461,0.2641,0.1325,1.6144,1.1904,-0.5225,
0.559378,-0.6384,0.8336,0.2125,-0.1461,0.2641,0.1325,1.6144,1.1904,-0.5225,
0.561493,-0.6384,0.8336,0.2125,-1.2617,1.0505,-2.4507,1.6144,1.1904,-0.5225,
0.563431,-0.6384,0.8336,0.2125,-1.2617,1.0505,-2.4507,1.1888,0.4224,-0.4298,
0.579279,-0.6384,0.8336,0.2125,-1.2617,1.0505,-2.4507,0.6780,-0.0368,-0.4554,
0.598527,-0.4173,0.7219,0.3467,-1.2617,1.0505,-2.4507,0.6780,-0.0368,-0.4554,
0.600829,-0.4173,0.7219,0.3467,1.0606,-0.1273,-0.8190,0.6780,-0.0368,-0.4554,
0.602744,-0.4173,0.7219,0.3467,1.0606,-0.1273,-0.8190,0.6397,0.3830,-0.5113,
0.618319,-0.4173,0.7219,0.3467,1.0606,-0.1273,-0.8190,1.0173,0.8916,-0.4874,
0.638610,-0.6071,0.7520,0.3870,1.0606,-0.1273,-0.8190,1.0173,0.8916,-0.4874,
0.640715,-0.6071,0.7520,0.3870,-0.5564,0.1348,-0.0475,1.0173,0.8916,-0.4874,
0.642670,-0.6071,0.7520,0.3870,-0.5564,0.1348,-0.0475,1.2517,0.5854,-0.5422,
0.658045,-0.6071,0.7520,0.3870,-0.5564,0.1348,-0.0475,1.0211,0.1891,-0.5886,
0.679550,-0.5365,0.7385,0.1774,-0.5564,0.1348,-0.0475,1.0211,0.1891,-0.5886,
0.682405,-0.5365,0.7385,0.1774,0.3528,-0.0448,-1.6762,1.0211,0.1891,-0.5886,
0.684430,-0.5365,0.7385,0.1774,0.3528,-0.0448,-1.6762,0.8645,0.2716,-0.5736,
0.698614,-0.5365,0.7385,0.1774,0.3528,-0.0448,-1.6762,0.7835,0.7025,-0.3830,
0.718685,-0.6415,0.7784,0.3775,0.3528,-0.0448,-1.6762,0.7835,0.7025,-0.3830,
0.720934,-0.6415,0.7784,0.3775,-0.4792,0.3453,0.6328,0.7835,0.7025,-0.3830,
0.722862,-0.6415,0.7784,0.3775,-0.4792,0.3453,0.6328,0.8384,0.6519,-0.3883,
0.738279,-0.6415,0.7784,0.3775,-0.4792,0.3453,0.6328,1.1159,0.5124,-0.4565,
0.757914,-0.7488,0.8116,0.3198,-0.4792,0.3453,0.6328,1.1159,0.5124,-0.4565,
0.759478,-0.7488,0.8116,0.3198,-1.3405,0.6610,0.4851,1.1159,0.5124,-0.4565,
0.760618,-0.7488,0.8116,0.3198,-1.3405,0.6610,0.4851,1.4466,0.4900,-0.3904,
0.777870,-0.7488,0.8116,0.3198,-1.3405,0.6610,0.4851,1.2767,0.5156,-0.0767,
0.797972,-0.5600,0.8109,0.1893,-1.3405,0.6610,0.4851,1.2767,0.5156,-0.0767,
0.798806,-0.5600,0.8109,0.1893,0.6184,0.5766,-0.2833,1.2767,0.5156,-0.0767,
0.799764,-0.5600,0.8109,0.1893,0.6184,0.5766,-0.2833,1.0956,0.3164,-0.1065,
0.817833,-0.5600,0.8109,0.1893,0.6184,0.5766,-0.2833,0.9268,0.1294,-0.2487,
0.837928,-0.6315,0.7933,0.0694,0.6184,0.5766,-0.2833,0.9268,0.1294,-0.2487,
0.838814,-0.6315,0.7933,0.0694,-0.0192,0.3633,-1.1049,0.9268,0.1294,-0.2487,
0.839631,-0.6315,0.7933,0.0694,-0.0192,0.3633,-1.1049,0.8160,0.2546,-0.3691,
0.858059,-0.6315,0.7933,0.0694,-0.0192,0.3633,-1.1049,0.5992,0.2562,-0.3553,
0.878080,-0.6606,0.7583,0.1346,-0.0192,0.3633,-1.1049,0.5992,0.2562,-0.3553,
0.879415,-0.6606,0.7583,0.1346,-0.1835,0.0620,-0.1942,0.5992,0.2562,-0.3553,
0.880456,-0.6606,0.7583,0.1346,-0.1835,0.0620,-0.1942,0.5790,-0.0048,-0.3132,
0.897210,-0.6606,0.7583,0.1346,-0.1835,0.0620,-0.1942,0.5507,-0.3883,-0.1971,
0.917166,-0.4815,0.7801,-0.1283,-0.1835,0.0620,-0.1942,0.5507,-0.3883,-0.1971,
0.918862,-0.4815,0.7801,-0.1283,1.6219,0.2904,-2.6276,0.5507,-0.3883,-0.1971,
0.919778,-0.4815,0.7801,-0.1283,1.6219,0.2904,-2.6276,0.3670,-0.3446,-0.1784,
0.936959,-0.4815,0.7801,-0.1283,1.6219,0.2904,-2.6276,0.4916,0.3728,-0.2461,
0.957211,-0.2976,1.0791,0.2668,1.6219,0.2904,-2.6276,0.4916,0.3728,-0.2461,
0.959125,-0.2976,1.0791,0.2668,3.4316,3.2043,1.3706,0.4916,0.3728,-0.2461,
0.960422,-0.2976,1.0791,0.2668,3.4316,3.2043,1.3706,0.7675,2.1172,-0.8485,
0.977322,-0.2976,1.0791,0.2668,3.4316,3.2043,1.3706,0.9609,2.4746,-0.5992,
0.997822,-0.8394,1.0293,0.1212,3.4316,3.2043,1.3706,0.9609,2.4746,-0.5992,
1.001098,-0.8394,1.0293,0.1212,-1.5926,2.8753,0.7913,0.9609,2.4746,-0.5992,
1.003060,-0.8394,1.0293,0.1212,-1.5926,2.8753,0.7913,0.9571,-0.1300,0.9348,
1.018121,-0.8394,1.0293,0.1212,-1.5926,2.8753,0.7913,0.8165,-1.7401,2.3825,
1.037735,-0.2585,0.8536,0.2299,-1.5926,2.8753,0.7913,0.8165,-1.7401,2.3825,
1.039617,-0.2585,0.8536,0.2299,3.5581,0.6903,1.8505,0.8165,-1.7401,2.3825,
1.040880,-0.2585,0.8536,0.2299,3.5581,0.6903,1.8505,0.9619,-1.3060,2.1833,
1.057152,-0.2585,0.8536,0.2299,3.5581,0.6903,1.8505,0.9470,-0.1076,1.6378,
1.077844,-0.6755,0.8087,0.1524,3.5581,0.6903,1.8505,0.9470,-0.1076,1.6378,
1.079312,-0.6755,0.8087,0.1524,-1.1484,-0.2082,1.1982,0.9470,-0.1076,1.6378,
1.080620,-0.6755,0.8087,0.1524,-1.1484,-0.2082,1.1982,0.6248,-0.1667,1.6948,
1.097681,-0.6755,0.8087,0.1524,-1.1484,-0.2082,1.1982,0.2663,-1.1787,1.8754,
1.117452,-0.6335,0.8084,0.1891,-1.1484,-0.2082,1.1982,0.2663,-1.1787,1.8754,
1.120434,-0.6335,0.8084,0.1891,-1.3195,-0.5729,1.5369,0.2663,-1.1787,1.8754,
1.122244,-0.6335,0.8084,0.1891,-1.3195,-0.5729,1.5369,0.0277,-1.4168,1.7161,
1.137579,-0.6335,0.8084,0.1891,-1.3195,-0.5729,1.5369,-0.2423,-1.4354,1.5217,
1.158022,-0.7542,0.6337,0.0579,-1.3195,-0.5729,1.5369,-0.2423,-1.4354,1.5217,
1.161353,-0.7542,0.6337,0.0579,-3.0114,-2.5408,-0.0685,-0.2423,-1.4354,1.5217,
1.164013,-0.7542,0.6337,0.0579,-3.0114,-2.5408,-0.0685,-0.6716,-1.7433,1.2970,
1.177083,-0.7542,0.6337,0.0579,-3.0114,-2.5408,-0.0685,-1.1995,-1.9271,0.7494,
1.197303,-0.7451,0.8582,0.0782,-3.0114,-2.5408,-0.0685,-1.1995,-1.9271,0.7494,
1.199747,-0.7451,0.8582,0.0782,-3.3201,-0.4610,-0.5003,-1.1995,-1.9271,0.7494,
1.201693,-0.7451,0.8582,0.0782,-3.3201,-0.4610,-0.5003,-1.5766,-1.5963,0.0868,
