
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.026038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2791,-0.3025,0.0192,
0.045761,-0.0484,0.1942,1.1143,0.0000,0.0000,0.0000,0.2791,-0.3025,0.0192,
0.047512,-0.0484,0.1942,1.1143,0.0000,0.0000,0.0000,0.2791,-0.3025,0.0192,
0.065776,-0.0484,0.1942,1.1143,0.0000,0.0000,0.0000,0.2791,-0.3025,0.0192,
0.085681,0.0037,0.1009,0.9506,0.0000,0.0000,0.0000,0.2791,-0.3025,0.0192,
0.087577,0.0037,0.1009,0.9506,-0.0017,-0.0463,-0.4360,0.2791,-0.3025,0.0192,
0.089408,0.0037,0.1009,0.9506,-0.0017,-0.0463,-0.4360,0.2791,-0.3025,0.0192,
0.106349,0.0037,0.1009,0.9506,-0.0017,-0.0463,-0.4360,-0.4320,0.0634,-0.1220,
0.125470,-0.0909,0.1244,1.1443,-0.0017,-0.0463,-0.4360,-0.4320,0.0634,-0.1220,
0.128450,-0.0909,0.1244,1.1443,-0.5424,0.1726,1.4700,-0.4320,0.0634,-0.1220,
0.130158,-0.0909,0.1244,1.1443,-0.5424,0.1726,1.4700,-0.6402,0.1443,-0.1566,
0.145984,-0.0909,0.1244,1.1443,-0.5424,0.1726,1.4700,-0.4261,0.4426,-0.0703,
0.165574,-0.0909,0.0770,1.2291,-0.5424,0.1726,1.4700,-0.4261,0.4426,-0.0703,
0.168674,-0.0909,0.0770,1.2291,-0.3659,-0.0870,2.2888,-0.4261,0.4426,-0.0703,
0.170397,-0.0909,0.0770,1.2291,-0.3659,-0.0870,2.2888,-0.0682,0.3068,-0.0123,
0.185886,-0.0909,0.0770,1.2291,-0.3659,-0.0870,2.2888,0.1806,-0.0336,0.0069,
0.205520,-0.0134,0.0428,1.0456,-0.3659,-0.0870,2.2888,0.1806,-0.0336,0.0069,
0.207700,-0.0134,0.0428,1.0456,0.2288,-0.2409,0.4694,0.1806,-0.0336,0.0069,
0.209450,-0.0134,0.0428,1.0456,0.2288,-0.2409,0.4694,0.1811,-0.3457,-0.1055,
0.226346,-0.0134,0.0428,1.0456,0.2288,-0.2409,0.4694,0.1188,-0.4112,-0.3388,
0.245168,-0.0169,0.0901,0.9909,0.2288,-0.2409,0.4694,0.1188,-0.4112,-0.3388,
0.247287,-0.0169,0.0901,0.9909,0.1162,0.1304,-0.0628,0.1188,-0.4112,-0.3388,
0.248727,-0.0169,0.0901,0.9909,0.1162,0.1304,-0.0628,0.1656,-0.2823,-0.5172,
0.265479,-0.0169,0.0901,0.9909,0.1162,0.1304,-0.0628,0.3052,-0.0921,-0.5907,
0.285132,-0.1302,0.1158,0.9643,0.1162,0.1304,-0.0628,0.3052,-0.0921,-0.5907,
0.287145,-0.1302,0.1158,0.9643,-0.5718,0.2128,-0.2879,0.3052,-0.0921,-0.5907,
0.288994,-0.1302,0.1158,0.9643,-0.5718,0.2128,-0.2879,0.4032,-0.0149,-0.5955,
0.305145,-0.1302,0.1158,0.9643,-0.5718,0.2128,-0.2879,0.4160,0.1443,-0.5971,
0.325088,-0.1419,0.1771,0.9416,-0.5718,0.2128,-0.2879,0.4160,0.1443,-0.5971,
0.327695,-0.1419,0.1771,0.9416,-0.3791,0.4478,-0.4416,0.4160,0.1443,-0.5971,
0.329569,-0.1419,0.1771,0.9416,-0.3791,0.4478,-0.4416,0.4826,0.4000,-0.6376,
0.345328,-0.1419,0.1771,0.9416,-0.3791,0.4478,-0.4416,0.5811,0.4458,-0.6232,
0.365007,-0.1671,0.2250,0.9135,-0.3791,0.4478,-0.4416,0.5811,0.4458,-0.6232,
0.367580,-0.1671,0.2250,0.9135,-0.4259,0.7339,-0.6677,0.5811,0.4458,-0.6232,
0.369257,-0.1671,0.2250,0.9135,-0.4259,0.7339,-0.6677,0.5800,0.2919,-0.5465,
0.385211,-0.1671,0.2250,0.9135,-0.4259,0.7339,-0.6677,0.4895,0.1369,-0.4330,
0.406108,-0.2274,0.2406,0.8883,-0.4259,0.7339,-0.6677,0.4895,0.1369,-0.4330,
0.408194,-0.2274,0.2406,0.8883,-0.8939,0.6972,-0.8670,0.4895,0.1369,-0.4330,
0.409975,-0.2274,0.2406,0.8883,-0.8939,0.6972,-0.8670,0.4165,0.0288,-0.3249,
0.425041,-0.2274,0.2406,0.8883,-0.8939,0.6972,-0.8670,0.3292,-0.0378,-0.2913,
0.445426,-0.2133,0.2736,0.8651,-0.8939,0.6972,-0.8670,0.3292,-0.0378,-0.2913,
0.448273,-0.2133,0.2736,0.8651,-0.7239,0.8829,-1.0651,0.3292,-0.0378,-0.2913,
0.449898,-0.2133,0.2736,0.8651,-0.7239,0.8829,-1.0651,0.2349,-0.1609,-0.2898,
0.464942,-0.2133,0.2736,0.8651,-0.7239,0.8829,-1.0651,0.1838,-0.1901,-0.2045,
0.484566,-0.2147,0.3088,0.9259,-0.7239,0.8829,-1.0651,0.1838,-0.1901,-0.2045,
0.485647,-0.2147,0.3088,0.9259,-0.7673,1.1385,-0.4558,0.1838,-0.1901,-0.2045,
0.486469,-0.2147,0.3088,0.9259,-0.7673,1.1385,-0.4558,0.2743,0.0660,-0.1156,
0.505550,-0.2147,0.3088,0.9259,-0.7673,1.1385,-0.4558,0.4953,0.2935,-0.0692,
0.525863,-0.1598,0.2734,0.9403,-0.7673,1.1385,-0.4558,0.4953,0.2935,-0.0692,
0.528493,-0.1598,0.2734,0.9403,-0.1399,0.6292,-0.2681,0.4953,0.2935,-0.0692,
0.530734,-0.1598,0.2734,0.9403,-0.1399,0.6292,-0.2681,0.6338,0.2210,-0.0884,
0.544588,-0.1598,0.2734,0.9403,-0.1399,0.6292,-0.2681,0.6642,0.0692,-0.1438,
0.564863,-0.1524,0.3003,0.6921,-0.1399,0.6292,-0.2681,0.6642,0.0692,-0.1438,
0.567775,-0.1524,0.3003,0.6921,-0.0031,0.6544,-2.6359,0.6642,0.0692,-0.1438,
0.569707,-0.1524,0.3003,0.6921,-0.0031,0.6544,-2.6359,0.0309,-0.1939,0.0437,
0.585058,-0.1524,0.3003,0.6921,-0.0031,0.6544,-2.6359,-0.0011,0.1438,-0.0341,
0.605790,-0.1964,0.3159,1.0850,-0.0031,0.6544,-2.6359,-0.0011,0.1438,-0.0341,
