t_Android;t_unix;x;y;z;a
533210408894228;1702815920616;-3.0410614;5.7084284;-8.537102;3
533210416889719;1702815920616;-3.0410614;5.7084284;-8.537102;3
533210424885208;1702815920616;-3.0410614;5.7084284;-8.537102;3
533210432850181;1702815920616;-3.0410614;5.7084284;-8.537102;3
533210440845671;1702815920616;-3.0410614;5.7084284;-8.537102;3
533210448841161;1702815920616;-3.0410614;5.7084284;-8.537102;3
533210456836650;1702815920616;-3.0410614;5.7084284;-8.537102;3
533210464801623;1702815920637;-3.0410614;5.7084284;-8.537102;3
533210472797113;1702815920637;-3.0410614;5.7084284;-8.537102;3
533210480792602;1702815920637;-3.0410614;5.7084284;-8.537102;3
533210488788093;1702815920643;-3.0410614;5.7084284;-8.537102;3
533210496783582;1702815920651;-3.0410614;5.7084284;-8.537102;3
533210504779073;1702815920658;-3.0410614;5.7084284;-8.537102;3
533210512744045;1702815920667;-3.0410614;5.7084284;-8.537102;3
533210520739535;1702815920675;-3.0410614;5.7084284;-8.537102;3
533210528735025;1702815920682;-3.0410614;5.7084284;-8.537102;3
533210536730514;1702815920690;-3.0410614;5.7084284;-8.537102;3
533210544695487;1702815920700;-3.0410614;5.7084284;-8.537102;3
533210552690977;1702815920706;-3.0410614;5.7084284;-8.537102;3
533210560686467;1702815920714;-3.0410614;5.7084284;-8.537102;3
533210568681956;1702815920722;-3.0410614;5.7084284;-8.537102;3
533210576677447;1702815920731;-3.0410614;5.7084284;-8.537102;3
533210584672936;1702815920737;-3.0410614;5.7084284;-8.537102;3
533210592668426;1702815920746;-3.0410614;5.7084284;-8.537102;3
533210600663916;1702815920753;-3.0410614;5.7084284;-8.537102;3
533210608628889;1702815920769;-3.0410614;5.7084284;-8.537102;3
533210616624379;1702815920770;-3.0410614;5.7084284;-8.537102;3
533210624619868;1702815920778;-3.0410614;5.7084284;-8.537102;3
533210632615358;1702815920786;-3.0410614;5.7084284;-8.537102;3
533210640610848;1702815920794;-3.0410614;5.7084284;-8.537102;3
533210648606338;1702815920802;-3.0410614;5.7084284;-8.537102;3
533210656601828;1702815920810;-3.0410614;5.7084284;-8.537102;3
