time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007877,0.7870,-0.1720,-0.4503,0.923
0.008665,0.7828,0.0459,-0.5326,0.948
0.009208,0.7830,0.0890,-0.5717,0.974
0.025396,0.5560,-0.1635,-0.4069,0.708
0.026182,0.5682,-0.2783,-0.3950,0.746
0.033909,0.5640,-0.3354,-0.5948,0.886
0.040875,0.7008,-0.3992,-0.4658,0.931
0.049405,0.7859,-0.4269,-0.3927,0.977
0.056374,0.7028,-0.3993,-0.3990,0.901
0.064986,0.8533,-0.3142,-0.2518,0.944
0.072383,0.6047,-0.2477,-0.1915,0.681
0.080232,0.3237,-0.1778,-0.1180,0.388
0.093003,0.0717,-0.1079,0.0143,0.130
0.096111,-0.0890,-0.0473,0.1760,0.203
0.104306,-0.0574,0.0303,0.3086,0.315
0.112380,-0.0507,0.1173,0.3197,0.344
0.126084,0.0519,0.1377,0.3594,0.388
0.128020,0.0937,0.1847,0.4078,0.457
0.136380,0.0793,0.2227,0.3127,0.392
0.144207,-0.0527,0.2035,0.1335,0.249
0.152326,-0.1493,0.1270,0.2278,0.301
0.160636,-0.0241,0.1036,0.5081,0.519
0.176384,0.2520,0.1569,0.7070,0.767
0.177605,-0.0161,0.1933,0.7417,0.767
0.184236,-0.3955,0.1650,0.9328,1.027
0.192028,-0.3073,0.0319,0.8691,0.922
0.205685,-0.1992,-0.2130,0.3804,0.479
0.208173,-0.3547,-0.4385,-0.2197,0.605
0.217051,-0.5371,-0.5706,-0.2113,0.812
0.224218,-0.3537,-0.5633,0.0682,0.669
0.233969,-0.3256,-0.4216,0.1167,0.545
0.239934,-0.2890,-0.3709,0.3455,0.584
0.248042,-0.3054,-0.4089,0.5777,0.771
0.256154,-0.4171,-0.4998,0.5306,0.840
0.264122,-0.3203,-0.6507,0.3698,0.814
0.277704,0.3606,-0.7466,0.0733,0.832
0.280046,0.3734,-0.8247,-0.0632,0.908
0.288600,-0.2740,-0.9212,-0.0528,0.962
0.296271,-0.4406,-1.0656,0.1278,1.160
0.310168,-0.2472,-1.1134,0.0706,1.143
0.311727,0.0097,-0.9591,0.1713,0.974
0.319901,-0.0624,-0.5914,0.1654,0.617
0.328101,0.0607,-0.5201,0.2560,0.583
0.335759,0.3010,-0.5658,0.4874,0.805
0.344268,0.2022,-0.5348,0.6858,0.893
0.353446,-0.1147,-0.5751,0.6957,0.910
0.359893,-0.3853,-0.5925,0.5447,0.892
0.368680,-0.3498,-0.8491,0.4075,1.005
0.376110,0.1078,-0.9735,0.2313,1.006
0.398109,0.4539,-0.9783,-0.0134,1.079
0.399165,0.2786,-0.7690,-0.3737,0.899
0.399872,0.3360,-0.6425,-0.3456,0.803
0.408497,0.4731,-0.6057,-0.1315,0.780
0.417360,0.2827,-0.4729,0.0967,0.559
0.424250,0.2716,-0.4064,0.3291,0.589
0.436475,0.3458,-0.2578,0.4380,0.615
0.440343,0.0522,-0.2160,0.4920,0.540
0.448167,-0.2879,-0.3161,0.6361,0.766
0.456465,-0.2802,-0.3556,0.3766,0.589
0.464063,-0.3534,-0.3243,-0.1791,0.512
0.472659,-0.3215,-0.1453,-0.4978,0.610
0.480042,-0.1654,-0.0022,-0.4308,0.461
0.495572,-0.1767,-0.0422,-0.0076,0.182
0.496897,-0.4504,0.0302,0.2262,0.505
0.504010,-0.4441,-0.0603,0.4321,0.623
0.512521,-0.6000,-0.1705,0.4842,0.790
0.520040,-0.8963,-0.1527,0.2971,0.957
0.528385,-0.8287,-0.2113,0.3401,0.920
0.535581,-0.6113,-0.3818,0.0716,0.724
0.543664,-0.7507,-0.2886,-0.2908,0.855
0.551733,-0.4602,-0.2351,-0.1774,0.546
0.559755,-0.0464,-0.2765,-0.0714,0.289
0.568210,0.0451,-0.2939,-0.1234,0.322
0.576039,0.0770,-0.2848,0.2047,0.359
0.588689,0.3306,-0.2528,0.1610,0.446
0.592031,0.3643,-0.2618,-0.1813,0.484
0.611495,0.4098,-0.3695,-0.2637,0.612
0.613183,0.4140,-0.3230,0.0069,0.525
0.618393,0.5501,-0.1157,0.2251,0.606
0.623841,0.7900,-0.0303,0.3575,0.868
0.632260,0.9257,0.1811,0.6370,1.138
0.639910,0.8174,0.4218,0.6814,1.145
0.647616,0.4795,0.5555,0.8748,1.142
0.656434,0.2741,0.6478,1.0821,1.291
0.664275,0.3845,0.6565,0.8981,1.177
0.672144,0.4604,0.2455,0.9295,1.066
0.680296,0.2834,-0.1528,0.4713,0.571
0.698581,0.4283,-0.3110,-0.0411,0.531
0.699677,0.4118,-0.3054,0.1205,0.527
0.704276,-0.5315,-0.3408,1.0462,1.222
0.711479,-0.6732,-0.3234,1.7990,1.948
0.719682,-0.4534,-0.0872,1.6409,1.705
0.728690,-0.9616,0.1903,1.0885,1.465
0.735991,-0.9976,0.0232,0.6349,1.183
0.744168,-0.6537,-0.5423,0.2390,0.882
0.751701,-0.5574,-0.7846,-0.2052,0.984
0.760016,-0.5119,-0.9001,-0.3882,1.106
0.767877,-0.3625,-0.7162,-0.3834,0.890
0.775956,-0.5564,-0.1176,-0.3250,0.655
0.787201,-1.1587,-0.1635,-0.1969,1.187
0.792354,-1.3881,-0.8855,-0.4551,1.708
0.805912,-1.1417,-0.6621,-0.3630,1.369
0.807275,-0.5852,-0.2365,-0.1546,0.650
0.816563,-0.7410,-0.2604,0.2365,0.820
0.823739,-0.6198,-0.2604,0.5521,0.870
0.831190,-0.0167,-0.0353,0.3566,0.359
0.839669,0.4283,-0.1186,0.0394,0.446
0.847726,0.4792,-0.1701,0.0056,0.509
0.855447,0.5527,-0.0327,0.1799,0.582
0.863041,0.8469,0.3870,0.0370,0.932
0.871916,1.4028,0.3784,-0.1883,1.465
0.879520,1.5585,0.0998,-0.2337,1.579
0.889925,1.1669,-0.0165,0.2342,1.190
0.895265,0.4826,-0.1587,1.3065,1.402
0.903152,0.0165,-0.3164,1.9613,1.987
0.911735,-0.3254,-0.7358,1.8915,2.056
0.919256,-0.5112,-1.3258,1.3852,1.984
0.927117,-0.6607,-1.7819,0.6264,2.001
0.935390,-0.7075,-2.1474,0.1603,2.267
0.943878,-0.3774,-2.4346,0.3405,2.487
0.951200,-0.3037,-2.5984,1.1385,2.853
0.960037,-0.2331,-2.7893,1.8225,3.340
0.967374,-0.0778,-3.2009,1.9744,3.762
0.976912,-0.0566,-3.6886,1.8554,4.129
0.988149,-0.1592,-4.0473,1.4177,4.291
0.991638,-0.6550,-3.4982,0.8780,3.666
1.006759,-1.7897,-2.3741,-0.5764,3.028
1.008420,-1.5118,-1.8207,-1.4157,2.758
1.016481,-0.6959,-1.8710,-1.6589,2.596
1.023099,-0.7740,-2.1247,-1.4515,2.687
1.031441,-1.1283,-2.2051,-1.1178,2.717
1.039440,-1.5417,-2.1843,0.0786,2.675
1.047111,-3.1917,-1.8938,2.3737,4.405
1.055992,-1.8534,-1.6584,5.6944,6.214
1.063929,-1.5423,-1.1346,7.6703,7.906
1.071917,-2.1461,-0.7997,7.9455,8.269
1.079370,-2.4619,-0.1864,4.4663,5.103
1.088528,-2.2083,0.5467,2.1741,3.147
1.095243,-2.1509,1.0856,-0.1752,2.416
1.107104,-3.1983,1.3766,-1.6294,3.844
1.111245,-3.7460,1.3687,-1.9045,4.420
1.119234,-2.3286,1.0151,-1.6495,3.029
1.127100,-0.6264,0.4643,-1.3155,1.529
1.135100,0.0614,0.0309,-0.6882,0.692
1.143816,9.5081,-5.1713,-0.2750,10.827
1.151774,10.4135,-7.5621,-0.7115,12.889
1.159949,8.4802,-7.4477,-1.2928,11.360
1.167663,6.0176,-6.2341,-1.6303,8.817
1.175864,4.0376,-4.5223,-2.5028,6.559
1.183980,1.9608,-2.8785,-3.0294,4.616
1.191171,0.3199,-3.7641,-1.7506,4.164
1.204226,-4.3240,-2.0977,4.1796,6.369
1.207761,-8.5144,1.6466,10.1448,13.346
1.221301,-9.6605,7.2590,14.8220,19.124
1.223047,-9.3903,12.6365,14.8975,21.675
1.231227,-6.3328,14.6069,10.5147,19.079
1.238877,-2.3202,13.4926,7.1195,15.431
1.247129,1.3452,9.7886,4.5174,10.864
1.255799,2.3697,6.2059,2.4202,7.070
1.262963,1.9625,3.4305,1.1019,4.103
1.270969,1.6895,1.2486,0.2584,2.117
