time,gFx,gFy,gFz,TgF
0.003698884,-0.1617,0.9638,0.1388,0.987
0.004393961,-0.1722,0.9587,0.1322,0.983
0.004780961,-0.1830,0.9538,0.1253,0.979
0.005164769,-0.1923,0.9491,0.1197,0.976
0.005488307,-0.1994,0.9442,0.1153,0.972
0.005813923,-0.2060,0.9408,0.1124,0.970
0.00615373,-0.2111,0.9386,0.1102,0.968
0.00648123,-0.2138,0.9379,0.1109,0.968
0.006834576,-0.2147,0.9362,0.1146,0.967
0.007168269,-0.2138,0.9345,0.1200,0.966
0.007477769,-0.2121,0.9337,0.1270,0.966
0.009621192,-0.2103,0.9323,0.1346,0.965
0.012350423,-0.2084,0.9311,0.1415,0.965
0.015123961,-0.2045,0.9303,0.1471,0.964
0.01550623,-0.1996,0.9291,0.1542,0.963
0.017249346,-0.1940,0.9271,0.1622,0.961
0.019201038,-0.1886,0.9245,0.1683,0.958
0.021049192,-0.1827,0.9227,0.1735,0.957
0.023247807,-0.1764,0.9230,0.1786,0.957
0.025068692,-0.1698,0.9240,0.1847,0.957
0.028859307,-0.1639,0.9245,0.1898,0.958
0.029561346,-0.1578,0.9267,0.1940,0.960
0.031542846,-0.1527,0.9291,0.1986,0.962
0.033525192,-0.1480,0.9320,0.2030,0.965
0.035689384,-0.1441,0.9357,0.2060,0.969
0.037398692,-0.1402,0.9389,0.2089,0.972
0.039540269,-0.1373,0.9430,0.2118,0.976
0.041259807,-0.1358,0.9462,0.2138,0.980
0.046839038,-0.1346,0.9491,0.2145,0.982
0.047624961,-0.1331,0.9523,0.2150,0.985
0.0481295,-0.1334,0.9555,0.2157,0.989
0.049283423,-0.1341,0.9582,0.2162,0.991
0.051671538,-0.1368,0.9626,0.2155,0.996
0.053472538,-0.1385,0.9662,0.2143,0.999
0.055323769,-0.1402,0.9697,0.2140,1.003
0.057186346,-0.1424,0.9721,0.2133,1.005
0.059518769,-0.1454,0.9740,0.2128,1.008
0.061621307,-0.1473,0.9762,0.2106,1.010
0.063474269,-0.1490,0.9787,0.2091,1.012
0.065205615,-0.1500,0.9811,0.2079,1.014
0.067210846,-0.1515,0.9838,0.2069,1.017
0.069230076,-0.1527,0.9863,0.2062,1.019
0.071625,-0.1539,0.9877,0.2050,1.020
0.073359153,-0.1546,0.9880,0.2042,1.021
0.07543173,-0.1549,0.9882,0.2035,1.021
0.077480807,-0.1549,0.9885,0.2030,1.021
0.079432692,-0.1529,0.9882,0.2033,1.020
0.081624346,-0.1502,0.9868,0.2020,1.018
0.08412973,-0.1476,0.9841,0.2018,1.015
0.086114807,-0.1456,0.9809,0.2003,1.012
0.088013423,-0.1434,0.9772,0.1989,1.008
0.089072423,-0.1395,0.9731,0.1989,1.003
0.092212538,-0.1353,0.9689,0.1989,0.998
0.094166769,-0.1329,0.9645,0.1972,0.993
0.096364846,-0.1314,0.9599,0.1959,0.988
0.098039576,-0.1309,0.9550,0.1947,0.983
0.099864384,-0.1302,0.9501,0.1928,0.978
0.101696423,-0.1297,0.9464,0.1923,0.974
0.104290499,-0.1302,0.9447,0.1906,0.973
0.105186269,-0.1322,0.9445,0.1871,0.972
0.108072461,-0.1358,0.9450,0.1835,0.972
0.110275307,-0.1397,0.9460,0.1798,0.973
0.112981538,-0.1437,0.9472,0.1754,0.974
0.113823961,-0.1478,0.9482,0.1715,0.975
0.116162615,-0.1524,0.9479,0.1695,0.975
0.117125576,-0.1571,0.9479,0.1683,0.975
0.120078923,-0.1605,0.9474,0.1669,0.975
0.121200461,-0.1627,0.9462,0.1666,0.974
0.123969999,-0.1639,0.9435,0.1669,0.972
0.125999461,-0.1649,0.9408,0.1676,0.970
0.128368423,-0.1659,0.9384,0.1688,0.968
0.130451346,-0.1673,0.9359,0.1688,0.966
0.131446269,-0.1693,0.9340,0.1681,0.964
0.133627884,-0.1705,0.9325,0.1671,0.963
0.136571576,-0.1730,0.9308,0.1671,0.961
0.137377961,-0.1754,0.9301,0.1664,0.961
0.140466576,-0.1769,0.9306,0.1661,0.962
0.141308038,-0.1776,0.9313,0.1656,0.962
0.143468692,-0.1786,0.9323,0.1654,0.964
0.145686538,-0.1793,0.9330,0.1659,0.964
0.14873273,-0.1798,0.9345,0.1673,0.966
0.149554384,-0.1788,0.9369,0.1691,0.969
0.152389269,-0.1786,0.9403,0.1713,0.972
0.153160384,-0.1796,0.9433,0.1747,0.976
0.155873115,-0.1791,0.9455,0.1779,0.979
0.157847807,-0.1786,0.9469,0.1793,0.980
