t_Android;t_unix;x;y;z;a
419719412574650;1702702434063;-0.33191657;-1.476984;-2.8634448;3
419719420570143;1702702434063;-0.33191657;-1.476984;-2.8634448;3
419719428565637;1702702434063;-0.33191657;-1.476984;-2.8634448;3
419719436561130;1702702434063;-0.33191657;-1.476984;-2.8634448;3
419719444556624;1702702434063;-0.33191657;-1.476984;-2.8634448;3
419719452521600;1702702434088;-0.33191657;-1.476984;-2.8634448;3
419719460517093;1702702434088;-0.33191657;-1.476984;-2.8634448;3
419719468512587;1702702434088;-0.33191657;-1.476984;-2.8634448;3
419719476508080;1702702434090;-0.33191657;-1.476984;-2.8634448;3
419719484503574;1702702434098;-0.33191657;-1.476984;-2.8634448;3
419719492468550;1702702434108;-0.33191657;-1.476984;-2.8634448;3
419719500464044;1702702434114;-0.33191657;-1.476984;-2.8634448;3
419719508459537;1702702434126;-0.33191657;-1.476984;-2.8634448;3
419719516455031;1702702434130;-0.33191657;-1.476984;-2.8634448;3
419719524450524;1702702434139;-0.33191657;-1.476984;-2.8634448;3
419719532415500;1702702434146;-0.33191657;-1.476984;-2.8634448;3
419719540410994;1702702434154;-0.33191657;-1.476984;-2.8634448;3
419719548406487;1702702434162;-0.33191657;-1.476984;-2.8634448;3
419719556401981;1702702434170;-0.33191657;-1.476984;-2.8634448;3
419719564397474;1702702434184;-0.33191657;-1.476984;-2.8634448;3
419719572362451;1702702434186;-0.33191657;-1.476984;-2.8634448;3
419719580357944;1702702434194;-0.33191657;-1.476984;-2.8634448;3
419719588353438;1702702434202;-0.33191657;-1.476984;-2.8634448;3
419719596348931;1702702434210;-0.33191657;-1.476984;-2.8634448;3
419719604313907;1702702434217;-0.33191657;-1.476984;-2.8634448;3
419719612309401;1702702434226;-0.33191657;-1.476984;-2.8634448;3
419719620304895;1702702434234;-0.33191657;-1.476984;-2.8634448;3
419719628300389;1702702434242;-0.33191657;-1.476984;-2.8634448;3
419719636265365;1702702434250;-0.33191657;-1.476984;-2.8634448;3
419719644260858;1702702434258;-0.33191657;-1.476984;-2.8634448;3
419719652256351;1702702434265;-0.33191657;-1.476984;-2.8634448;3
419719660251845;1702702434274;-0.33191657;-1.476984;-2.8634448;3
419719668216822;1702702434281;-0.33191657;-1.476984;-2.8634448;3
419719676212315;1702702434290;-0.33191657;-1.476984;-2.8634448;3
419719684207809;1702702434297;-0.33191657;-1.476984;-2.8634448;3
419719692203302;1702702434307;-0.33191657;-1.476984;-2.8634448;3
419719700168278;1702702434313;-0.33191657;-1.476984;-2.8634448;3
419719708163772;1702702434323;-0.33191657;-1.476984;-2.8634448;3
419719716159265;1702702434330;-0.33191657;-1.476984;-2.8634448;3
419719724154759;1702702434337;-0.33191657;-1.476984;-2.8634448;3
419719732150252;1702702434345;-0.33191657;-1.476984;-2.8634448;3
419719740115229;1702702434353;-0.33191657;-1.476984;-2.8634448;3
419719748110722;1702702434361;-0.33191657;-1.476984;-2.8634448;3
419719756106216;1702702434370;-0.33191657;-1.476984;-2.8634448;3
419719764101709;1702702434377;-0.33191657;-1.476984;-2.8634448;3
419719772066685;1702702434386;-0.33191657;-1.476984;-2.8634448;3
419719780062179;1702702434393;-0.33191657;-1.476984;-2.8634448;3
419719788057672;1702702434401;-0.33191657;-1.476984;-2.8634448;3
419719796053166;1702702434409;-0.33191657;-1.476984;-2.8634448;3
419719804048659;1702702434417;-0.33191657;-1.476984;-2.8634448;3
419719812013636;1702702434425;-0.33191657;-1.476984;-2.8634448;3
419719820009129;1702702434433;-0.33191657;-1.476984;-2.8634448;3
419719828004623;1702702434441;-0.33191657;-1.476984;-2.8634448;3
419719836000116;1702702434449;-0.33191657;-1.476984;-2.8634448;3
419719843965092;1702702434457;-0.33191657;-1.476984;-2.8634448;3
419719851960586;1702702434465;-0.33191657;-1.476984;-2.8634448;3
419719859956079;1702702434473;-0.33191657;-1.476984;-2.8634448;3
419719867951573;1702702434481;-0.33191657;-1.476984;-2.8634448;3
419719875947066;1702702434490;-0.33191657;-1.476984;-2.8634448;3
419719883912043;1702702434497;-0.33191657;-1.476984;-2.8634448;3
419719891907536;1702702434505;-0.33191657;-1.476984;-2.8634448;3
419719899903030;1702702434513;-0.33191657;-1.476984;-2.8634448;3
419719907898523;1702702434521;-0.33191657;-1.476984;-2.8634448;3
419719915894017;1702702434529;-0.33191657;-1.476984;-2.8634448;3
419719923889510;1702702434537;-0.33191657;-1.476984;-2.8634448;3
419719931885004;1702702434545;-0.33191657;-1.476984;-2.8634448;3
419719939880497;1702702434553;-0.33191657;-1.476984;-2.8634448;3
419719947845474;1702702434561;-0.33191657;-1.476984;-2.8634448;3
419719955840968;1702702434574;-0.33191657;-1.476984;-2.8634448;3
419719963836461;1702702434577;-0.33191657;-1.476984;-2.8634448;3
419719971831955;1702702434588;-0.33191657;-1.476984;-2.8634448;3
419719979827448;1702702434593;-0.33191657;-1.476984;-2.8634448;3
419719987822942;1702702434601;-0.33191657;-1.476984;-2.8634448;3
419719995787917;1702702434610;-0.33191657;-1.476984;-2.8634448;3
419720003783411;1702702434620;-0.33191657;-1.476984;-2.8634448;3
419720011778904;1702702434625;-0.33191657;-1.476984;-2.8634448;3
419720019774398;1702702434633;-0.33191657;-1.476984;-2.8634448;3
419720027769891;1702702434641;-0.33191657;-1.476984;-2.8634448;3
419720035765385;1702702434649;-0.33191657;-1.476984;-2.8634448;3
419720043730362;1702702434658;-0.33191657;-1.476984;-2.8634448;3
419720051725855;1702702434665;-0.33191657;-1.476984;-2.8634448;3
419720059721349;1702702434674;-0.33191657;-1.476984;-2.8634448;3
419720067716842;1702702434681;-0.33191657;-1.476984;-2.8634448;3
419720075712336;1702702434689;-0.33191657;-1.476984;-2.8634448;3
419720083677311;1702702434697;-0.33191657;-1.476984;-2.8634448;3
419720091672805;1702702434707;-0.33191657;-1.476984;-2.8634448;3
419720099668298;1702702434713;-0.33191657;-1.476984;-2.8634448;3
419720107663792;1702702434722;-0.33191657;-1.476984;-2.8634448;3
419720115659285;1702702434729;-0.33191657;-1.476984;-2.8634448;3
419720123624262;1702702434738;-0.33191657;-1.476984;-2.8634448;3
419720131619756;1702702434745;-0.33191657;-1.476984;-2.8634448;3
419720139615249;1702702434754;-0.33191657;-1.476984;-2.8634448;3
419720147610743;1702702434761;-0.33191657;-1.476984;-2.8634448;3
419720155606236;1702702434771;-0.33191657;-1.476984;-2.8634448;3
419720163571213;1702702434777;-0.33191657;-1.476984;-2.8634448;3
419720171566706;1702702434788;-0.33191657;-1.476984;-2.8634448;3
419720179562200;1702702434793;-0.33191657;-1.476984;-2.8634448;3
419720187557693;1702702434801;-0.33191657;-1.476984;-2.8634448;3
419720195522669;1702702434809;-0.33191657;-1.476984;-2.8634448;3
419720203518163;1702702434817;-0.33191657;-1.476984;-2.8634448;3
419720211513656;1702702434825;-0.33191657;-1.476984;-2.8634448;3
419720219509150;1702702434833;-0.33191657;-1.476984;-2.8634448;3
419720227504643;1702702434841;-0.33191657;-1.476984;-2.8634448;3
419720235469620;1702702434849;-0.33191657;-1.476984;-2.8634448;3
419720243465113;1702702434858;-0.33191657;-1.476984;-2.8634448;3
419720251460607;1702702434865;-0.33191657;-1.476984;-2.8634448;3
419720259456100;1702702434874;-0.33191657;-1.476984;-2.8634448;3
419720267421076;1702702434881;-0.33191657;-1.476984;-2.8634448;3
419720275416570;1702702434890;-0.33191657;-1.476984;-2.8634448;3
419720283412063;1702702434897;-0.33191657;-1.476984;-2.8634448;3
419720291407557;1702702434907;-0.33191657;-1.476984;-2.8634448;3
419720299403050;1702702434913;-0.33191657;-1.476984;-2.8634448;3
419720307368027;1702702434921;-0.33191657;-1.476984;-2.8634448;3
419720315363521;1702702434929;-0.33191657;-1.476984;-2.8634448;3
419720323359014;1702702434937;-0.33191657;-1.476984;-2.8634448;3
419720331354507;1702702434945;-0.33191657;-1.476984;-2.8634448;3
419720339350001;1702702434955;-0.33191657;-1.476984;-2.8634448;3
419720347314977;1702702434961;-0.33191657;-1.476984;-2.8634448;3
419720355310470;1702702434973;-0.33191657;-1.476984;-2.8634448;3
419720363305964;1702702434977;-0.33191657;-1.476984;-2.8634448;3
419720371301457;1702702434985;-0.33191657;-1.476984;-2.8634448;3
419720379296951;1702702434993;-0.33191657;-1.476984;-2.8634448;3
419720387292444;1702702435001;-0.33191657;-1.476984;-2.8634448;3
419720395257421;1702702435009;-0.33191657;-1.476984;-2.8634448;3
419720403252915;1702702435017;-0.33191657;-1.476984;-2.8634448;3
419720411248408;1702702435025;-0.33191657;-1.476984;-2.8634448;3
